,File, V_Neg, V_Neut, V_Pos, A_Neut, A_Pos, Laning, Shopping, Returning, Roaming, Fighting, Pushing, Defending, Dead, Misc, Interest
4289,5_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
966,149_07_01.mp4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
4810,179_010_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
2392,224_05_02.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2
1495,177_09_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
5962,196_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
2710,26_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
5702,72_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
4448,228_08_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
5593,175_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
5790,132_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
1176,160_010_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
295,113_02_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
6509,68_09_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3539,70_010_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
1150,159_05_01.mp4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
792,14_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
216,109_05_02.mp4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2
703,135_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
4472,14_08_02.mp4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2
6326,163_08_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
1231,163_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
1313,168_02_01.mp4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4
5598,190_05_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
336,115_06_01.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
413,12_02_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2
518,125_03_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
4739,44_09_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
5539,49_05_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
712,135_08_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
1233,163_04_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
1336,169_04_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
6596,196_09_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
7114,155_06_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6800,203_010_03.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
4807,12_010_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3053,44_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
7072,121_06_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6712,36_09_03.mp4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
116,103_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
1738,190_02_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
6063,131_07_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
5673,221_05_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
5291,52_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6280,90_08_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
1209,162_01_03.mp4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1223,162_09_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
6115,70_07_03.mp4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3
5175,142_03_03.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
2287,219_04_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
1970,201_08_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
7151,128_06_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6821,18_010_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3568,71_08_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
